Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kevin Durant,PF,32,BRK,19,18,35.7,9.9,18.9,.524,2.6,5.9,.434,7.3,12.9,.565,.592,6.6,7.6,.869,0.4,6.9,7.3,5.3,0.7,1.4,3.5,2.3,29.0
Anthony Edwards,SG,19,MIN,38,21,29.3,5.7,15.2,.376,1.9,6.2,.308,3.8,8.9,.424,.439,2.0,2.6,.794,0.7,3.4,4.1,2.5,0.9,0.4,1.9,1.6,15.4
Carsen Edwards,SG,22,BOS,14,1,10.5,2.1,4.5,.460,0.8,2.4,.324,1.3,2.1,.621,.548,0.5,0.6,.778,0.1,0.9,1.0,0.4,0.3,0.1,0.1,1.1,5.4
CJ Elleby,SF,20,POR,13,0,8.1,1.1,2.4,.452,0.4,1.5,.263,0.7,0.9,.750,.532,0.5,0.7,.667,0.3,0.8,1.1,0.2,0.3,0.2,0.2,1.4,3.0
Henry Ellenson,F,24,TOR,1,0,18.0,4.0,9.0,.444,1.0,5.0,.200,3.0,4.0,.750,.500,0.0,0.0,,3.0,6.0,9.0,3.0,0.0,0.0,0.0,3.0,9.0
Wayne Ellington,SG,33,DET,30,25,23.2,3.6,8.1,.446,2.7,6.4,.422,0.9,1.7,.540,.614,0.7,0.9,.741,0.3,1.5,1.8,1.4,0.4,0.2,0.7,1.5,10.6
Joel Embiid,C,26,PHI,31,31,32.6,9.5,18.0,.525,1.2,2.9,.422,8.2,15.1,.545,.559,9.8,11.4,.859,2.2,9.3,11.5,3.3,1.2,1.4,3.2,2.5,29.9
James Ennis,SF,30,ORL,24,23,21.4,2.5,5.0,.500,0.9,2.0,.447,1.6,3.0,.534,.588,1.4,1.8,.786,1.1,2.8,3.9,1.3,0.8,0.3,0.9,2.2,7.3
Drew Eubanks,C,23,SAS,17,0,11.9,1.4,3.4,.404,0.0,0.0,,1.4,3.4,.404,.404,0.9,1.2,.714,0.6,2.4,3.1,0.6,0.1,1.1,0.5,1.2,3.6
Dante Exum,SG,25,CLE,6,3,19.3,1.7,4.3,.385,0.3,1.8,.182,1.3,2.5,.533,.423,0.2,0.3,.500,0.3,2.5,2.8,2.2,0.7,0.3,1.2,1.5,3.8
Tacko Fall,C,25,BOS,8,0,7.1,1.1,1.6,.692,0.0,0.0,,1.1,1.6,.692,.692,0.4,1.0,.375,1.0,1.6,2.6,0.1,0.0,1.3,0.1,1.3,2.6
Derrick Favors,C,29,UTA,35,0,16.2,2.4,3.7,.649,0.0,0.0,.000,2.4,3.7,.654,.649,1.3,1.6,.789,1.9,3.5,5.4,0.8,0.5,0.9,0.6,2.5,6.1
Cristiano Felício,C,28,CHI,6,0,6.3,0.5,0.7,.750,0.0,0.0,,0.5,0.7,.750,.750,0.8,1.3,.625,1.0,1.0,2.0,0.8,0.3,0.0,0.5,0.5,1.8
Terrance Ferguson,SG,22,PHI,11,0,3.6,0.1,0.5,.167,0.0,0.4,.000,0.1,0.2,.500,.167,0.0,0.0,,0.0,0.1,0.1,0.2,0.1,0.0,0.4,0.5,0.2
Bruno Fernando,C,22,ATL,19,0,8.0,0.6,1.3,.440,0.0,0.1,.000,0.6,1.2,.478,.440,0.5,0.8,.600,0.7,2.5,3.2,0.5,0.1,0.1,0.8,0.9,1.6
Yogi Ferrell,PG,27,CLE,2,0,20.0,4.0,10.5,.381,1.5,4.5,.333,2.5,6.0,.417,.452,0.0,1.0,.000,1.5,2.0,3.5,2.5,1.5,0.5,1.5,2.0,9.5
Dorian Finney-Smith,PF,27,DAL,28,28,31.5,3.0,7.1,.420,1.6,4.8,.343,1.4,2.4,.576,.535,0.5,0.6,.882,1.4,4.0,5.4,1.4,0.9,0.4,0.6,2.6,8.2
Malachi Flynn,PG,22,TOR,15,0,8.3,0.8,3.0,.267,0.3,1.7,.192,0.5,1.3,.368,.322,0.3,0.4,.667,0.1,0.7,0.7,1.1,0.3,0.0,0.3,0.8,2.2
Bryn Forbes,SG,27,MIL,38,6,18.7,3.5,7.3,.473,2.2,4.7,.461,1.3,2.7,.495,.620,0.5,0.7,.741,0.2,1.1,1.3,0.6,0.2,0.0,0.5,1.1,9.6
Trent Forrest,PG,22,UTA,7,0,2.9,0.0,0.4,.000,0.0,0.3,.000,0.0,0.1,.000,.000,0.3,0.3,1.000,0.0,0.3,0.3,0.6,0.3,0.0,0.1,0.3,0.3
Evan Fournier,SF,28,ORL,21,21,29.2,6.0,13.4,.450,2.5,6.7,.371,3.6,6.8,.528,.543,4.0,5.0,.790,0.2,2.9,3.1,3.8,1.0,0.3,2.1,2.0,18.5
De'Aaron Fox,PG,23,SAC,37,37,34.4,8.5,18.2,.469,1.9,5.5,.338,6.6,12.6,.526,.520,4.6,6.7,.681,0.7,2.7,3.4,7.6,1.2,0.5,3.3,3.0,23.5
Tim Frazier,PG,30,MEM,3,0,11.0,0.7,2.7,.250,0.0,0.7,.000,0.7,2.0,.333,.250,0.0,0.0,,0.0,1.3,1.3,2.3,0.3,0.0,1.0,1.3,1.3
Markelle Fultz,PG,22,ORL,8,8,26.9,5.1,13.0,.394,0.5,2.0,.250,4.6,11.0,.420,.413,2.1,2.4,.895,0.6,2.5,3.1,5.4,1.0,0.3,2.3,2.3,12.9
Wenyen Gabriel,PF,23,NOP,5,0,3.4,0.0,0.8,.000,0.0,0.2,.000,0.0,0.6,.000,.000,0.2,0.4,.500,0.2,1.0,1.2,0.2,0.0,0.0,0.2,0.0,0.2
Daniel Gafford,PF,22,CHI,27,11,13.0,1.9,2.9,.675,0.0,0.0,,1.9,2.9,.675,.675,1.0,1.4,.667,1.3,1.8,3.1,0.6,0.4,1.2,0.7,1.9,4.8
Danilo Gallinari,PF,32,ATL,26,2,22.5,3.6,8.8,.408,2.1,5.2,.400,1.5,3.6,.419,.526,2.9,3.1,.938,0.2,3.3,3.6,1.5,0.6,0.1,1.1,1.9,12.1
Langston Galloway,SG,29,PHO,25,0,10.5,1.5,3.3,.463,0.8,1.8,.457,0.7,1.4,.472,.591,0.6,0.6,1.000,0.2,0.9,1.0,0.6,0.2,0.0,0.3,0.6,4.5
Darius Garland,PG,21,CLE,28,25,32.9,6.4,14.5,.440,1.7,4.5,.384,4.7,10.1,.465,.499,1.6,1.9,.849,0.5,1.8,2.2,5.9,1.2,0.1,2.9,2.2,16.1
Marc Gasol,C,36,LAL,35,35,20.1,1.5,3.8,.403,0.9,2.4,.365,0.7,1.4,.469,.519,0.8,1.0,.806,0.7,3.4,4.1,2.0,0.5,1.3,0.9,2.3,4.8
Rudy Gay,PF,34,SAS,28,0,22.1,4.2,10.0,.419,1.7,4.4,.382,2.5,5.6,.449,.504,1.5,1.8,.804,0.9,4.3,5.2,1.5,0.8,0.5,1.1,1.8,11.5
Paul George,SF,30,LAC,28,28,33.3,8.2,16.6,.495,3.5,7.8,.452,4.7,8.9,.532,.600,3.5,4.0,.884,0.9,5.3,6.1,5.4,1.2,0.5,3.3,2.3,23.5
Taj Gibson,PF,35,NYK,14,0,16.5,1.5,2.6,.568,0.2,0.7,.300,1.3,1.9,.667,.608,0.6,1.0,.643,1.4,3.1,4.6,0.5,0.6,0.5,0.6,1.9,3.9
Harry Giles,C,22,POR,22,0,11.8,1.2,2.8,.419,0.1,0.4,.375,1.0,2.5,.426,.444,0.6,0.8,.722,1.1,3.8,4.9,0.9,0.2,0.4,0.7,2.0,3.1
Shai Gilgeous-Alexander,SG,22,OKC,31,31,34.0,8.1,15.8,.510,2.0,4.9,.405,6.1,10.9,.558,.573,5.4,6.7,.803,0.6,4.4,5.0,6.2,0.8,0.6,2.9,2.1,23.5
Anthony Gill,PF,28,WAS,12,1,5.6,0.3,0.8,.300,0.1,0.6,.143,0.2,0.3,.667,.350,0.3,0.3,.750,0.3,1.3,1.6,0.3,0.3,0.2,0.3,0.3,0.8
Rudy Gobert,C,28,UTA,37,37,30.7,5.4,8.5,.638,0.0,0.0,.000,5.4,8.5,.640,.638,3.3,5.5,.601,3.3,9.8,13.1,1.3,0.5,2.8,1.8,2.2,14.2
Brandon Goodwin,PG,25,ATL,25,0,11.6,1.4,4.2,.330,0.6,2.1,.283,0.8,2.1,.377,.401,0.7,1.0,.708,0.1,1.0,1.1,1.7,0.4,0.0,0.5,0.9,4.1
Aaron Gordon,PF,25,ORL,20,20,28.3,4.7,11.1,.425,1.6,4.3,.365,3.2,6.8,.463,.495,2.6,4.2,.627,1.7,5.3,7.0,4.0,0.7,0.9,2.7,2.1,13.6
Eric Gordon,SG,32,HOU,27,13,29.2,5.9,13.6,.433,2.6,7.8,.329,3.3,5.8,.573,.527,3.5,4.2,.825,0.3,1.9,2.1,2.6,0.5,0.5,1.9,1.6,17.8
Devonte' Graham,PG,25,CHO,27,25,31.7,4.3,12.1,.357,2.8,8.0,.353,1.5,4.2,.363,.473,2.1,2.7,.781,0.5,2.4,2.9,5.6,1.0,0.0,1.3,1.5,13.6
Jerami Grant,SF,26,DET,35,35,36.1,7.8,17.9,.434,2.4,6.8,.354,5.4,11.1,.482,.501,5.7,6.4,.888,0.8,4.5,5.3,2.9,0.7,1.1,2.0,2.7,23.6
Danny Green,SF,33,PHI,38,38,28.5,3.0,7.6,.396,2.2,5.9,.378,0.8,1.7,.460,.543,0.3,0.5,.650,0.8,2.8,3.7,1.8,1.2,0.8,1.2,1.8,8.6
Draymond Green,PF,30,GSW,32,32,29.5,2.2,5.7,.392,0.5,1.9,.258,1.7,3.7,.462,.436,1.0,1.3,.738,0.7,5.3,6.0,8.4,1.4,0.7,2.7,3.2,5.9
JaMychal Green,PF,30,DEN,26,4,20.4,3.2,7.2,.441,1.6,3.8,.424,1.5,3.3,.460,.554,1.0,1.2,.844,1.6,4.3,6.0,0.9,0.6,0.3,1.0,2.7,9.0
Javonte Green,SG,27,BOS,22,2,15.0,1.8,3.2,.549,0.3,1.0,.318,1.5,2.2,.653,.599,0.9,1.4,.667,0.9,1.4,2.3,0.5,0.8,0.1,0.5,1.3,4.8
Jeff Green,C,34,BRK,35,16,26.5,3.4,6.8,.498,1.5,3.5,.418,1.9,3.3,.583,.605,1.2,1.6,.782,0.4,3.1,3.6,1.5,0.7,0.2,0.8,1.9,9.4
Josh Green,SG,20,DAL,19,5,11.4,0.9,2.1,.436,0.1,0.6,.167,0.8,1.4,.556,.462,0.3,0.6,.545,0.6,1.5,2.1,0.5,0.2,0.1,0.6,0.9,2.2
Blake Griffin,PF,31,DET,20,20,31.3,4.1,11.1,.365,2.0,6.2,.315,2.1,4.9,.429,.453,2.2,3.1,.710,0.4,4.9,5.2,3.9,0.7,0.1,1.6,2.1,12.3
Kyle Guy,PG,23,SAC,16,0,7.3,0.9,2.8,.318,0.4,1.5,.250,0.5,1.3,.400,.386,0.4,0.5,.875,0.2,0.7,0.9,0.9,0.3,0.0,0.2,0.6,2.6
Rui Hachimura,PF,22,WAS,30,30,29.9,4.6,10.0,.463,0.8,2.6,.325,3.8,7.4,.511,.505,2.8,3.6,.776,1.0,4.5,5.5,1.6,0.8,0.1,1.0,2.1,12.9
Ashton Hagans,PG,21,MIN,2,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Tyrese Haliburton,PG,20,SAC,32,2,29.5,4.9,10.2,.483,2.3,5.4,.430,2.6,4.8,.542,.596,0.6,0.8,.833,0.9,2.6,3.5,5.2,1.4,0.6,1.5,1.3,12.8
Josh Hall,SF,20,OKC,7,0,7.3,0.6,2.6,.222,0.1,1.1,.125,0.4,1.4,.300,.250,0.4,1.0,.429,0.1,1.1,1.3,1.0,0.0,0.0,0.6,1.0,1.7
R.J. Hampton,PG,19,DEN,24,0,9.2,1.0,2.4,.414,0.2,0.8,.278,0.8,1.7,.475,.457,0.3,0.4,.700,0.4,1.5,2.0,0.5,0.2,0.1,0.5,0.9,2.5
Tim Hardaway Jr.,SG,28,DAL,36,17,29.3,5.7,13.1,.432,2.8,7.5,.376,2.8,5.6,.507,.540,2.0,2.6,.793,0.4,2.9,3.2,1.7,0.6,0.2,0.9,1.5,16.2
James Harden,PG-SG,31,TOT,33,33,37.8,8.0,16.7,.478,3.1,8.1,.383,4.9,8.7,.566,.571,6.1,7.0,.870,0.9,7.1,7.9,11.0,1.2,0.8,4.3,2.2,25.2
Maurice Harkless,SF,27,MIA,11,3,11.3,0.5,1.2,.385,0.5,1.0,.455,0.0,0.2,.000,.577,0.0,0.2,.000,0.2,1.0,1.2,0.6,0.2,0.4,0.3,1.3,1.4
Jared Harper,PG,23,NYK,2,0,2.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,1.0,1.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Montrezl Harrell,C,27,LAL,38,1,24.3,5.7,9.1,.629,0.0,0.2,.000,5.7,8.9,.642,.629,2.5,3.3,.752,2.4,4.1,6.4,1.1,0.7,0.8,1.1,2.1,13.9
Gary Harris,SG,26,DEN,19,19,30.6,3.6,8.2,.442,1.3,3.9,.320,2.4,4.3,.556,.519,1.2,1.6,.733,0.7,1.8,2.5,1.7,0.9,0.2,0.7,1.9,9.7
Jalen Harris,SG,22,TOR,3,0,3.0,0.3,0.7,.500,0.3,0.3,1.000,0.0,0.3,.000,.750,0.0,0.0,,0.3,0.3,0.7,0.3,0.3,0.0,0.3,0.7,1.0
Joe Harris,SF,29,BRK,39,35,30.9,5.4,10.2,.526,3.4,6.7,.498,2.0,3.4,.582,.691,0.6,0.8,.688,0.5,3.0,3.5,1.7,0.6,0.2,0.8,2.2,14.6
Tobias Harris,PF,28,PHI,33,33,33.8,7.8,15.1,.515,1.6,3.9,.400,6.2,11.1,.556,.567,3.1,3.5,.886,1.2,6.3,7.5,3.4,0.8,0.8,1.9,2.0,20.2
Shaquille Harrison,SG,27,UTA,17,0,3.3,0.4,1.2,.300,0.0,0.1,.000,0.4,1.1,.333,.300,0.3,0.4,.833,0.2,0.4,0.5,0.5,0.1,0.0,0.3,0.2,1.0
Josh Hart,SF,25,NOP,38,3,28.4,3.1,7.1,.441,1.3,4.0,.320,1.8,3.1,.598,.531,1.4,1.9,.761,1.1,6.3,7.4,2.0,0.8,0.2,0.9,2.4,9.0
Isaiah Hartenstein,C,22,DEN,27,0,9.4,1.5,2.9,.519,0.0,0.0,,1.5,2.9,.519,.519,0.7,1.3,.588,1.4,1.4,2.8,0.5,0.4,0.6,0.7,2.0,3.7
Jaxson Hayes,C,20,NOP,27,1,12.7,2.1,2.9,.709,0.0,0.0,,2.1,2.9,.709,.709,0.9,1.3,.676,1.3,2.3,3.6,0.4,0.3,0.5,0.6,1.8,5.0
Killian Hayes,PG,19,DET,7,7,21.1,1.9,6.7,.277,0.7,2.9,.250,1.1,3.9,.296,.330,0.1,0.3,.500,0.1,1.0,1.1,3.6,0.3,0.0,2.4,2.1,4.6
Gordon Hayward,SF,30,CHO,33,33,34.7,7.7,15.9,.482,2.0,4.9,.405,5.7,11.0,.517,.545,3.7,4.3,.865,0.8,4.5,5.4,3.9,1.3,0.4,2.0,1.7,21.0
Juan Hernangómez,PF,25,MIN,19,6,15.8,2.2,5.3,.416,0.9,2.9,.321,1.3,2.4,.533,.505,0.7,1.2,.636,0.9,3.5,4.4,0.6,0.3,0.1,0.4,0.8,6.1
Willy Hernangómez,C,26,NOP,22,2,16.9,2.9,5.4,.529,0.0,0.3,.167,2.8,5.1,.549,.534,1.1,1.7,.632,2.7,4.0,6.6,1.3,0.3,0.5,0.5,1.2,6.9
Tyler Herro,SG,21,MIA,27,14,32.2,5.9,13.6,.433,1.9,5.7,.331,4.0,7.9,.507,.503,1.8,2.3,.762,0.4,5.2,5.6,3.6,0.6,0.4,2.3,1.6,15.4
Buddy Hield,SG,28,SAC,38,38,34.9,5.5,14.3,.386,3.9,10.4,.373,1.6,3.9,.419,.521,1.4,1.7,.846,0.4,4.1,4.5,3.3,0.8,0.3,1.7,2.6,16.3
George Hill,PG,34,OKC,14,14,26.4,4.4,8.6,.508,1.6,4.1,.386,2.8,4.5,.619,.600,1.5,1.8,.840,0.6,1.5,2.1,3.1,0.9,0.1,0.9,0.9,11.8
Solomon Hill,PF,29,ATL,38,1,19.2,1.4,4.1,.357,1.0,3.0,.325,0.5,1.1,.450,.477,0.5,0.6,.857,0.5,1.7,2.2,0.9,0.7,0.2,0.6,1.7,4.3
Nate Hinton,SG,21,DAL,6,0,3.2,0.5,2.2,.231,0.2,0.8,.200,0.3,1.3,.250,.269,0.2,0.3,.500,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.2,1.3
Aaron Holiday,PG,24,IND,37,6,18.7,2.8,7.2,.381,1.1,3.0,.351,1.7,4.2,.401,.453,0.8,1.1,.725,0.2,1.1,1.3,1.8,0.6,0.1,0.8,1.7,7.4
Jrue Holiday,PG,30,MIL,28,25,30.8,6.1,12.5,.484,1.7,4.6,.364,4.4,7.9,.554,.551,1.4,1.8,.784,1.2,3.3,4.4,5.0,1.8,0.5,1.6,1.8,15.3
Justin Holiday,SG,31,IND,37,28,32.3,3.9,8.8,.442,2.5,6.2,.398,1.4,2.6,.547,.583,1.2,1.4,.827,0.6,3.3,3.9,1.7,1.2,0.4,0.8,2.2,11.4
Richaun Holmes,C,27,SAC,34,34,29.8,5.8,8.9,.654,0.0,0.2,.167,5.8,8.7,.664,.656,1.8,2.3,.805,2.6,5.9,8.5,1.7,0.7,1.5,1.4,3.9,13.4
Rodney Hood,SF,28,POR,32,5,19.3,2.1,5.5,.373,0.6,2.2,.286,1.4,3.3,.430,.429,0.3,0.4,.750,0.3,1.3,1.6,1.2,0.6,0.1,0.8,1.4,5.0
Al Horford,C,34,OKC,26,26,28.2,5.9,12.9,.455,2.0,5.4,.376,3.8,7.5,.513,.534,0.6,0.7,.789,1.0,5.7,6.7,3.3,0.8,0.9,1.1,1.8,14.4
Talen Horton-Tucker,SG,20,LAL,34,1,17.4,2.8,6.5,.436,0.5,1.9,.277,2.3,4.6,.503,.477,1.0,1.2,.829,0.3,2.1,2.4,1.9,0.8,0.6,1.3,2.1,7.2
Danuel House,SF,27,HOU,22,12,27.4,3.1,8.4,.375,1.5,5.0,.312,1.6,3.4,.467,.467,1.3,1.7,.757,0.7,3.2,4.0,1.9,0.6,0.5,1.0,2.0,9.1
Dwight Howard,C,35,PHI,38,4,16.2,2.4,4.1,.591,0.1,0.3,.308,2.3,3.7,.617,.604,1.5,2.8,.538,2.6,5.0,7.5,0.7,0.4,0.9,1.7,3.0,6.4
Markus Howard,SG,21,DEN,18,0,3.2,0.4,1.9,.206,0.2,1.3,.167,0.2,0.6,.300,.265,0.1,0.1,.500,0.0,0.3,0.3,0.3,0.1,0.0,0.2,0.4,1.1
Kevin Huerter,SG,22,ATL,38,27,31.9,4.6,10.8,.424,2.2,5.9,.364,2.4,4.9,.497,.524,0.8,1.0,.842,0.7,2.9,3.6,3.7,1.3,0.2,1.2,2.5,12.2
Elijah Hughes,SF,22,UTA,6,0,4.5,0.8,2.5,.333,0.5,1.7,.300,0.3,0.8,.400,.433,0.5,0.7,.750,0.0,0.7,0.7,0.5,0.2,0.2,0.7,0.0,2.7
De'Andre Hunter,SF,23,ATL,18,18,32.2,6.0,11.7,.514,1.7,4.6,.366,4.3,7.1,.609,.586,3.6,4.1,.877,0.9,4.5,5.4,2.2,0.9,0.5,1.4,2.6,17.2
Chandler Hutchison,SF,24,CHI,7,0,9.1,0.7,2.6,.278,0.1,0.4,.333,0.6,2.1,.267,.306,0.3,0.3,1.000,0.1,2.7,2.9,0.6,0.1,0.0,0.7,1.3,1.9
Serge Ibaka,C,31,LAC,38,38,23.9,4.6,9.1,.510,1.0,2.8,.355,3.6,6.3,.580,.565,1.0,1.2,.822,1.8,5.1,6.8,1.8,0.2,1.2,1.2,1.9,11.2
Andre Iguodala,SF,37,MIA,36,2,21.7,1.6,4.3,.379,1.1,3.3,.333,0.5,1.0,.528,.507,0.4,0.7,.560,0.6,3.1,3.7,2.2,1.0,0.4,1.0,1.4,4.7
Joe Ingles,SF,33,UTA,33,9,26.4,4.0,7.6,.524,2.5,5.3,.466,1.5,2.3,.658,.686,1.0,1.2,.895,0.4,2.9,3.3,4.3,0.5,0.3,1.6,1.8,11.4
Brandon Ingram,SF,23,NOP,38,38,34.4,8.5,17.8,.476,2.3,6.2,.377,6.1,11.6,.530,.542,4.4,5.1,.880,0.6,4.5,5.1,4.7,0.7,0.8,2.3,2.0,23.7
Kyrie Irving,PG,28,BRK,28,28,35.5,10.4,20.3,.514,2.9,7.1,.407,7.5,13.2,.572,.585,3.6,4.0,.894,1.2,3.7,4.9,5.8,1.1,0.6,2.4,2.8,27.4
Wesley Iwundu,SF,26,DAL,20,3,12.3,0.7,2.4,.298,0.2,1.2,.130,0.6,1.2,.458,.330,0.5,0.6,.818,0.3,1.5,1.8,0.4,0.4,0.2,0.3,1.0,2.0
Frank Jackson,PG,22,DET,9,0,6.0,0.7,2.4,.273,0.4,1.4,.308,0.2,1.0,.222,.364,0.0,0.0,,0.0,0.9,0.9,1.1,0.1,0.0,0.4,0.6,1.8
Josh Jackson,SG,23,DET,34,6,24.7,4.7,11.2,.421,1.2,4.4,.284,3.5,6.9,.509,.476,2.5,3.6,.699,1.0,3.4,4.4,1.9,0.9,0.9,2.3,2.9,13.2
Justin Jackson,SF,25,OKC,26,2,16.2,2.5,6.0,.410,1.0,3.2,.298,1.5,2.8,.542,.490,0.7,0.8,.818,0.4,1.8,2.3,1.5,0.4,0.1,1.0,0.9,6.6
Reggie Jackson,SG,30,LAC,36,16,20.4,3.2,7.1,.447,1.3,3.3,.398,1.9,3.9,.489,.539,0.9,1.2,.767,0.4,2.3,2.7,3.0,0.6,0.1,1.0,1.9,8.6
Justin James,SF,24,SAC,15,0,4.8,0.7,1.6,.417,0.1,0.6,.222,0.5,1.0,.533,.458,0.1,0.5,.250,0.2,0.4,0.6,0.4,0.2,0.1,0.1,0.2,1.6
LeBron James,PG,36,LAL,37,37,34.6,9.6,18.9,.507,2.4,6.6,.357,7.2,12.3,.588,.569,4.1,5.9,.689,0.6,7.3,7.9,7.8,1.1,0.6,3.7,1.6,25.6
DaQuan Jeffries,SG,23,SAC,14,2,14.4,1.6,3.8,.415,0.6,1.8,.320,1.0,2.0,.500,.491,0.4,0.5,.857,0.5,1.1,1.6,0.3,0.4,0.3,0.5,1.4,4.1
Ty Jerome,SG,23,OKC,6,0,25.8,3.3,8.0,.417,1.7,4.7,.357,1.7,3.3,.500,.521,0.2,0.3,.500,0.8,2.8,3.7,3.2,0.5,0.2,0.5,3.0,8.5
Isaiah Joe,SG,21,PHI,20,1,12.0,1.5,4.0,.367,1.2,3.0,.383,0.3,1.0,.316,.513,0.3,0.3,1.000,0.3,0.9,1.2,0.8,0.4,0.2,0.3,1.1,4.3
Cameron Johnson,PF,24,PHO,34,9,24.2,3.7,8.4,.437,2.1,5.7,.378,1.5,2.7,.559,.565,0.9,1.1,.865,0.6,2.8,3.4,1.4,0.6,0.3,0.8,1.4,10.4
James Johnson,PF,33,DAL,29,1,17.4,2.3,5.0,.462,0.5,2.1,.250,1.8,2.9,.612,.514,0.6,1.0,.586,0.5,2.5,3.0,1.7,0.8,0.8,0.9,2.0,5.7
Keldon Johnson,SF,21,SAS,31,29,28.7,5.2,10.9,.475,1.0,2.9,.330,4.2,7.9,.528,.519,2.6,3.4,.781,1.5,5.0,6.5,2.0,0.7,0.5,1.4,2.3,13.9
Stanley Johnson,PF,24,TOR,34,4,14.2,1.1,2.7,.396,0.7,1.7,.407,0.4,0.9,.375,.527,0.3,0.4,.786,0.5,1.7,2.2,1.3,0.7,0.3,0.7,1.6,3.1
Tyler Johnson,SG,28,BRK,20,1,14.2,1.6,4.0,.392,1.2,2.9,.421,0.4,1.1,.318,.544,0.4,0.4,1.000,0.2,1.5,1.7,1.0,0.3,0.0,0.3,0.8,4.7
Nikola Jokić,C,25,DEN,38,38,35.9,10.6,18.7,.566,1.5,3.7,.411,9.1,15.0,.605,.607,4.4,5.1,.876,2.8,8.3,11.1,8.6,1.6,0.6,3.1,2.8,27.1
Damian Jones,C,25,TOT,18,2,7.8,0.8,1.3,.625,0.0,0.1,.000,0.8,1.3,.652,.625,0.6,0.9,.647,0.5,0.8,1.3,0.2,0.1,0.5,0.4,1.6,2.3
Derrick Jones Jr.,SF,23,POR,33,32,26.8,3.0,5.9,.510,0.8,2.5,.337,2.2,3.4,.640,.582,1.3,2.0,.657,1.8,2.8,4.6,0.9,0.8,1.1,0.7,2.5,8.2
Mason Jones,SG,22,HOU,23,1,11.1,1.7,4.0,.418,0.8,2.3,.346,0.9,1.7,.513,.516,1.3,1.9,.659,0.2,1.8,2.0,1.3,0.3,0.0,1.2,1.0,5.3
Tre Jones,PG,21,SAS,14,0,3.4,0.7,1.3,.556,0.1,0.1,1.000,0.6,1.2,.529,.583,0.4,0.4,1.000,0.3,0.0,0.3,0.2,0.0,0.0,0.3,0.3,1.9
Tyus Jones,PG,24,MEM,34,8,21.2,3.4,7.6,.440,0.8,2.6,.295,2.6,5.0,.515,.490,0.5,0.6,.850,0.4,2.0,2.4,4.4,1.2,0.1,0.9,0.4,8.0
DeAndre Jordan,C,32,BRK,37,28,23.1,3.4,4.4,.765,0.0,0.0,.000,3.4,4.4,.770,.765,0.8,1.6,.500,1.8,5.7,7.5,1.8,0.3,1.4,1.6,2.2,7.5
Cory Joseph,PG,29,SAC,38,2,21.1,2.6,5.7,.445,0.7,2.2,.318,1.8,3.5,.526,.507,0.8,1.0,.769,0.6,1.7,2.3,2.4,0.8,0.2,1.0,2.3,6.6
Mfiondu Kabengele,PF,23,LAC,21,0,4.1,0.4,1.3,.286,0.1,0.7,.200,0.2,0.6,.385,.339,0.2,0.3,.833,0.0,0.6,0.6,0.2,0.1,0.1,0.3,0.8,1.1
Frank Kaminsky,C,27,PHO,29,13,15.6,2.7,5.8,.464,0.9,2.2,.413,1.8,3.6,.495,.542,0.7,1.1,.613,0.8,3.1,3.9,1.7,0.3,0.4,0.5,1.4,6.9
Enes Kanter,C,28,POR,37,25,26.5,5.2,8.6,.600,0.0,0.0,,5.2,8.6,.600,.600,1.9,2.5,.758,4.2,7.6,11.8,1.2,0.5,0.7,1.1,2.7,12.2
Luke Kennard,SG,24,LAC,35,7,19.9,2.8,6.0,.464,1.5,3.3,.444,1.3,2.7,.489,.588,0.4,0.4,.867,0.2,2.4,2.6,1.7,0.4,0.2,0.8,1.6,7.5
Maxi Kleber,PF,29,DAL,25,19,26.5,2.4,5.2,.454,1.8,3.9,.469,0.5,1.3,.406,.631,1.0,1.0,.960,1.0,4.4,5.4,1.4,0.5,0.8,0.6,2.3,7.5
Nathan Knight,PF,23,ATL,11,0,5.4,0.8,2.2,.375,0.3,0.8,.333,0.5,1.4,.400,.438,0.8,0.9,.900,0.8,0.7,1.5,0.1,0.2,0.3,0.5,0.6,2.7
Kevin Knox,SF,21,NYK,28,0,14.4,1.8,4.4,.398,1.1,2.7,.400,0.7,1.7,.396,.520,0.4,0.5,.786,0.3,1.5,1.8,0.6,0.3,0.2,0.6,1.2,5.0
John Konchar,SG,24,MEM,19,0,16.2,1.5,3.5,.424,0.4,1.2,.304,1.1,2.3,.488,.477,0.8,0.9,.889,0.9,2.6,3.6,1.2,0.9,0.3,0.4,1.4,4.2
Furkan Korkmaz,SG,23,PHI,27,3,19.1,3.0,7.6,.395,1.6,4.6,.355,1.4,3.0,.457,.502,1.1,1.3,.806,0.3,2.1,2.4,1.0,0.7,0.1,1.0,1.2,8.7
